gm	numerical	variational
2.77	7.01681	7.15611
2.78	7.11438	7.2572
2.79	7.2129	7.35931
2.8	7.31238	7.46245
2.81	7.41281	7.56661
2.82	7.51421	7.67182
2.83	7.61657	7.77806
2.84	7.7199	7.88536
2.85	7.82421	7.9937
2.86	7.9295	8.10311
2.87	8.03577	8.21358
2.88	8.14303	8.32512
2.89	8.25129	8.43773
2.9	8.36054	8.55143
2.91	8.47079	8.66621
2.92	8.58205	8.78209
2.93	8.69432	8.89906
2.94	8.8076	9.01714
2.95	8.92191	9.13632
2.96	9.03723	9.25662
2.97	9.15358	9.37803
2.98	9.27096	9.50057
2.99	9.38938	9.62424
3	9.50883	9.74905
3.01	9.62933	9.87499
3.02	9.75088	10.0021
3.03	9.87347	10.1303
3.04	9.99712	10.2597
3.05	10.1218	10.3903
3.06	10.2476	10.522
3.07	10.3744	10.6549
3.08	10.5023	10.789
3.09	10.6313	10.9242
3.1	10.7614	11.0607
3.11	10.8925	11.1983
3.12	11.0247	11.3371
3.13	11.158	11.4772
3.14	11.2924	11.6184
3.15	11.4279	11.7609
3.16	11.5645	11.9045
3.17	11.7022	12.0494
3.18	11.841	12.1956
3.19	11.9809	12.3429
3.2	12.1219	12.4915
3.21	12.2641	12.6413
3.22	12.4073	12.7924
3.23	12.5517	12.9448
3.24	12.6972	13.0984
3.25	12.8438	13.2532
3.26	12.9916	13.4093
3.27	13.1404	13.5667
3.28	13.2905	13.7254
3.29	13.4416	13.8853
3.3	13.5939	14.0466
3.31	13.7474	14.2091
3.32	13.902	14.3729
3.33	14.0577	14.538
3.34	14.2146	14.7044
3.35	14.3727	14.8721
3.36	14.5319	15.0412
3.37	14.6923	15.2115
3.38	14.8538	15.3832
3.39	15.0165	15.5562
3.4	15.1804	15.7305
3.41	15.3455	15.9062
3.42	15.5117	16.0832
3.43	15.6791	16.2616
3.44	15.8477	16.4413
3.45	16.0174	16.6223
3.46	16.1883	16.8047
3.47	16.3605	16.9885
3.48	16.5338	17.1736
3.49	16.7082	17.3601
3.5	16.8839	17.548
3.51	17.0608	17.7373
3.52	17.2389	17.9279
3.53	17.4181	18.1199
3.54	17.5986	18.3133
3.55	17.7802	18.5081
3.56	17.9631	18.7043
3.57	18.1471	18.9019
3.58	18.3324	19.1009
3.59	18.5188	19.3013
3.6	18.7065	19.5032
3.61	18.8953	19.7064
3.62	19.0854	19.9111
3.63	19.2767	20.1172
3.64	19.4692	20.3247
3.65	19.6629	20.5336
3.66	19.8578	20.744
3.67	20.0539	20.9558
3.68	20.2512	21.1691
3.69	20.4498	21.3838
3.7	20.6495	21.5999
3.71	20.8505	21.8176
3.72	21.0527	22.0366
3.73	21.2561	22.2571
3.74	21.4607	22.4791
3.75	21.6665	22.7026
3.76	21.8736	22.9275
3.77	22.0819	23.1539
3.78	22.2901	23.3818
3.79	22.5021	23.6112
3.8	22.7127	23.842
3.81	22.9259	24.0743
3.82	23.1402	24.3081
3.83	23.3558	24.5434
3.84	23.5726	24.7802
3.85	23.7906	25.0185
3.86	24.0099	25.2583
3.87	24.2304	25.4996
3.88	24.452	25.7425
3.89	24.675	25.9868
3.9	24.8991	26.2326
3.91	25.1244	26.48
3.92	25.351	26.7288
3.93	25.5788	26.9792
3.94	25.8078	27.2312
3.95	26.038	27.4846
3.96	26.2695	27.7396
3.97	26.5021	27.9961
3.98	26.736	28.2541
3.99	26.9711	28.5137
4	27.2074	28.7749
4.01	27.445	29.0375
4.02	27.6837	29.3017
4.03	27.9237	29.5675
4.04	28.1649	29.8348
4.05	28.4073	30.1037
4.06	28.6509	30.3741
4.07	28.8958	30.6461
4.08	29.1418	30.9196
4.09	29.3891	31.1947
4.1	29.6376	31.4714
4.11	29.8873	31.7496
4.12	30.1382	32.0294
4.13	30.3903	32.3108
4.14	30.6437	32.5938
4.15	30.8996	32.8783
4.16	31.1554	33.1644
4.17	31.4131	33.4521
4.18	31.6713	33.7413
4.19	31.9307	34.0322
4.2	32.1864	34.3246
4.21	32.4531	34.6186
4.22	32.7113	34.9143
4.23	32.9753	35.2115
4.24	33.2408	35.5103
4.25	33.5074	35.8107
4.26	33.7752	36.1127
4.27	34.0443	36.4163
4.28	34.3145	36.7215
4.29	34.586	37.0282
4.3	34.8587	37.3367
4.31	35.1325	37.6467
4.32	35.4076	37.9583
4.33	35.689	38.2715
4.34	35.9665	38.5863
4.35	36.2451	38.9028
4.36	36.525	39.2209
4.37	36.8061	39.5405
4.38	37.0883	39.8618
4.39	37.3722	40.1847
4.4	37.6568	40.5093
4.41	37.9427	40.8354
4.42	38.2297	41.1632
4.43	38.5179	41.4926
4.44	38.8073	41.8237
4.45	39.0979	42.1563
4.46	39.3897	42.4906
4.47	39.6827	42.8265
4.48	39.9769	43.1641
4.49	40.2722	43.5032
4.5	40.5688	43.844
4.51	40.8665	44.1865
4.52	41.1654	44.5306
4.53	41.4654	44.8763
4.54	41.7667	45.2236
4.55	42.0691	45.5726
4.56	42.3727	45.9233
4.57	42.666	46.2755
4.58	42.9834	46.6295
4.59	43.279	46.985
4.6	43.5866	47.3422
4.61	43.896	47.7011
4.62	44.2066	48.0616
4.63	44.5307	48.4237
4.64	44.8436	48.7875
4.65	45.1578	49.1529
4.66	45.473	49.52
4.67	45.7895	49.8887
4.68	46.107	50.2591
4.69	46.4258	50.6311
4.7	46.7457	51.0048
4.71	47.0667	51.3801
4.72	47.3889	51.7571
4.73	47.7123	52.1358
4.74	48.0368	52.5161
4.75	48.3624	52.898
