gmix	NTG1	NTG3	NTG5	NTG7	NTG9	NTG11	model
1.34	1.47432	0.512216	0.37341	0.327434	0.307912	0.298224	0.402053
1.35	1.48259	0.520173	0.382883	0.338153	0.319452	0.310291	0.414159
1.36	1.49103	0.528438	0.393017	0.349307	0.331421	0.322772	0.426536
1.37	1.49965	0.537023	0.403072	0.3609	0.343818	0.335666	0.439187
1.38	1.50844	0.545938	0.414062	0.372933	0.356641	0.348971	0.452116
1.39	1.51743	0.555194	0.425236	0.385652	0.369889	0.362685	0.465327
1.4	1.5266	0.564802	0.436839	0.398326	0.38356	0.376804	0.478824
1.41	1.53597	0.574772	0.448886	0.411669	0.397652	0.391326	0.492612
1.42	1.54554	0.585115	0.461381	0.425726	0.412162	0.40625	0.506693
1.43	1.55532	0.595842	0.474328	0.439707	0.427089	0.421571	0.521073
1.44	1.5653	0.606961	0.487729	0.454634	0.44243	0.43729	0.535755
1.45	1.5755	0.618822	0.501586	0.469483	0.458183	0.453401	0.550743
1.46	1.58591	0.630427	0.515902	0.485286	0.474345	0.469905	0.566042
1.47	1.59656	0.643138	0.530676	0.501265	0.490914	0.486798	0.581656
1.48	1.60743	0.655945	0.54591	0.517396	0.507888	0.504078	0.597589
1.49	1.61854	0.669179	0.561604	0.534496	0.525264	0.521744	0.613845
1.5	1.62989	0.682861	0.577757	0.551486	0.543041	0.539794	0.630428
1.51	1.64149	0.696997	0.594369	0.569438	0.561217	0.558226	0.647343
1.52	1.65334	0.711594	0.611439	0.587546	0.57979	0.577039	0.664593
1.53	1.66545	0.726657	0.628966	0.606067	0.598758	0.596233	0.682184
1.54	1.67829	0.742192	0.646949	0.624733	0.61812	0.615806	0.70012
1.55	1.69098	0.758203	0.665387	0.644362	0.637875	0.635757	0.718404
1.56	1.70344	0.774696	0.684278	0.663868	0.658021	0.656086	0.737042
1.57	1.71715	0.791675	0.703621	0.684049	0.678559	0.676793	0.756037
1.58	1.73069	0.809143	0.723415	0.704653	0.699487	0.697877	0.775394
1.59	1.74452	0.827103	0.743658	0.725668	0.720805	0.719339	0.795118
1.6	1.75866	0.845558	0.764349	0.747092	0.742513	0.741179	0.815213
1.61	1.77311	0.86451	0.785486	0.768927	0.764611	0.763397	0.835683
1.62	1.78788	0.883962	0.807069	0.791169	0.787099	0.785994	0.856533
1.63	1.80298	0.903916	0.829096	0.813821	0.809977	0.808972	0.877767
1.64	1.81841	0.924372	0.851567	0.836881	0.833247	0.832332	0.89939
1.65	1.83419	0.945331	0.874481	0.86035	0.856649	0.856074	0.921407
1.66	1.85031	0.966796	0.897837	0.884228	0.880962	0.8802	0.943822
1.67	1.8668	0.988766	0.921635	0.908515	0.905158	0.904713	0.966639
1.68	1.88365	1.01124	0.945875	0.933214	0.929999	0.929614	0.989864
1.69	1.90088	1.03463	0.970556	0.958323	0.955246	0.954906	1.0135
1.7	1.91849	1.05812	0.995679	0.983846	0.980892	0.98059	1.03755
1.71	1.93649	1.08169	1.02124	1.00978	1.00694	1.00667	1.06203
1.72	1.95488	1.10618	1.04725	1.03614	1.03339	1.03315	1.08693
1.73	1.97369	1.13119	1.0737	1.06291	1.06025	1.06003	1.11226
1.74	1.99291	1.15671	1.1006	1.0901	1.08752	1.08731	1.13802
1.75	2.01255	1.18318	1.12794	1.11771	1.1152	1.115	1.16423
1.76	2.03263	1.20927	1.15573	1.14575	1.14329	1.1431	1.19088
1.77	2.05314	1.2363	1.18396	1.17421	1.1718	1.17162	1.21798
1.78	2.07411	1.26385	1.21265	1.2031	1.20074	1.2003	1.24554
1.79	2.09553	1.29191	1.24178	1.23243	1.2301	1.2299	1.27355
1.8	2.11742	1.32094	1.27138	1.26219	1.25989	1.25969	1.30203
1.81	2.13978	1.35002	1.30142	1.2924	1.29011	1.2899	1.33097
1.82	2.16262	1.37914	1.33193	1.32304	1.32077	1.3203	1.3604
1.83	2.18596	1.40923	1.3629	1.35413	1.35187	1.35138	1.39029
1.84	2.20979	1.43984	1.39433	1.38568	1.38342	1.38316	1.42068
1.85	2.23413	1.47097	1.42623	1.41767	1.41541	1.41488	1.45155
1.86	2.25976	1.50261	1.4586	1.45013	1.44786	1.44731	1.48291
1.87	2.2852	1.53526	1.49144	1.48305	1.48077	1.48045	1.51477
1.88	2.31115	1.56746	1.52476	1.51643	1.51414	1.51354	1.54714
1.89	2.33763	1.60114	1.55856	1.55028	1.54798	1.54761	1.58001
1.9	2.36467	1.63438	1.59285	1.58462	1.58229	1.5819	1.61339
1.91	2.39226	1.6691	1.62762	1.61943	1.61708	1.6164	1.6473
1.92	2.42041	1.70339	1.66289	1.65472	1.65236	1.6519	1.68172
1.93	2.44914	1.73867	1.69865	1.69051	1.68812	1.68738	1.71668
1.94	2.47845	1.77501	1.73492	1.72679	1.72437	1.72386	1.75217
1.95	2.50835	1.81088	1.77168	1.76357	1.76112	1.76032	1.78819
1.96	2.53884	1.84776	1.80896	1.80085	1.79837	1.79781	1.82476
1.97	2.56994	1.8852	1.84676	1.83864	1.83614	1.83555	1.86187
1.98	2.60164	1.92318	1.88507	1.87695	1.87441	1.87353	1.89954
1.99	2.63396	1.96171	1.9239	1.91578	1.91321	1.91257	1.93777
2	2.6669	2.00079	1.96327	1.95513	1.95253	1.95186	1.97656
2.01	2.70047	2.04043	2.00316	1.99502	1.99239	1.99169	2.01592
2.02	2.73468	2.08061	2.0436	2.03544	2.03277	2.03205	2.05585
2.03	2.76953	2.12136	2.08458	2.0764	2.0737	2.07296	2.09636
2.04	2.80503	2.16268	2.12611	2.11791	2.11518	2.11441	2.13745
2.05	2.84119	2.20456	2.16819	2.15997	2.15721	2.15641	2.17913
2.06	2.878	2.24701	2.21083	2.20259	2.1998	2.19898	2.22141
2.07	2.91548	2.29004	2.25403	2.24577	2.24295	2.24211	2.26428
2.08	2.95363	2.33421	2.2978	2.28952	2.28667	2.28581	2.30776
2.09	2.99246	2.37787	2.34215	2.33384	2.33097	2.33008	2.35185
2.1	3.03197	2.4232	2.38708	2.37875	2.37585	2.37494	2.39655
2.11	3.07217	2.46803	2.43259	2.42424	2.42131	2.42039	2.44187
2.12	3.11307	2.51457	2.4787	2.47032	2.46737	2.46642	2.48782
2.13	3.15466	2.56116	2.5254	2.517	2.51402	2.51306	2.53439
2.14	3.19695	2.60778	2.5727	2.56429	2.56128	2.56031	2.5816
2.15	3.23995	2.65615	2.62061	2.61218	2.60915	2.60816	2.62945
2.16	3.28366	2.70401	2.66914	2.66068	2.65763	2.65663	2.67795
2.17	3.32809	2.75363	2.71828	2.70981	2.70674	2.70572	2.7271
2.18	3.37324	2.80272	2.76805	2.75956	2.75647	2.75544	2.7769
2.19	3.41911	2.85301	2.81845	2.80994	2.80684	2.80579	2.82736
2.2	3.46571	2.90395	2.86948	2.86096	2.85816	2.85679	2.87849
2.21	3.51304	2.95615	2.92115	2.91262	2.90949	2.90842	2.93028
2.22	3.56112	3.00779	2.97347	2.96493	2.96178	2.96071	2.98276
2.23	3.61095	3.06066	3.02644	3.01789	3.01473	3.01365	3.03592
2.24	3.65954	3.11483	3.08007	3.07151	3.06834	3.06726	3.08976
2.25	3.7098	3.16844	3.13436	3.1258	3.12262	3.12153	3.14429
2.26	3.76085	3.22393	3.18933	3.18076	3.17757	3.17648	3.19953
2.27	3.81266	3.2795	3.24496	3.23639	3.2332	3.2321	3.25546
2.28	3.86634	3.3351	3.30128	3.29271	3.28985	3.28841	3.3121
2.29	3.91864	3.392	3.35828	3.34971	3.34651	3.34541	3.36945
2.3	3.97382	3.45026	3.41597	3.40741	3.40455	3.4031	3.42752
2.31	4.02762	3.50858	3.47436	3.4658	3.4626	3.4615	3.48632
2.32	4.08321	3.56694	3.53346	3.5249	3.5217	3.5206	3.54584
2.33	4.14081	3.6273	3.59326	3.58471	3.58151	3.58041	3.6061
2.34	4.1969	3.68774	3.65377	3.64524	3.64239	3.64094	3.66709
2.35	4.25604	3.74889	3.715	3.70648	3.70365	3.70219	3.72883
2.36	4.31368	3.81076	3.77696	3.76845	3.76527	3.76417	3.79131
2.37	4.37442	3.87335	3.83965	3.83116	3.82797	3.82689	3.85455
2.38	4.43484	3.936	3.90307	3.8946	3.89142	3.89034	3.91855
2.39	4.49602	4.00074	3.96723	3.95878	3.95598	3.95454	3.98331
2.4	4.55675	4.06556	4.03214	4.02371	4.02093	4.01949	4.04884
2.41	4.62075	4.13112	4.0978	4.0894	4.08625	4.0852	4.11515
2.42	4.68438	4.19744	4.16422	4.15584	4.15308	4.15166	4.18223
2.43	4.7475	4.26451	4.2314	4.22305	4.2203	4.21889	4.2501
2.44	4.81397	4.33235	4.29934	4.29102	4.28792	4.28689	4.31876
2.45	4.88005	4.40097	4.36806	4.35978	4.35706	4.35567	4.38821
2.46	4.94692	4.47035	4.43756	4.42931	4.42662	4.42523	4.45847
2.47	5.01461	4.54052	4.50785	4.49962	4.49695	4.49558	4.52952
2.48	5.08314	4.61148	4.57892	4.57073	4.56769	4.56672	4.60139
2.49	5.15249	4.68322	4.65078	4.64263	4.64	4.63865	4.67407
2.5	5.22269	4.75502	4.72345	4.71534	4.71273	4.71139	4.74758
2.51	5.29372	4.82909	4.79692	4.78885	4.78627	4.78494	4.8219
2.52	5.3656	4.90326	4.8712	4.86317	4.86061	4.8593	4.89706
2.53	5.43833	4.97822	4.94629	4.93831	4.93578	4.93448	4.97305
2.54	5.51191	5.05401	5.02221	5.01427	5.01135	5.01048	5.04988
2.55	5.58634	5.13061	5.09895	5.09106	5.08857	5.08731	5.12756
2.56	5.66164	5.20804	5.17652	5.16868	5.16622	5.16497	5.20609
2.57	5.7378	5.28631	5.25492	5.24713	5.24471	5.24347	5.28547
2.58	5.81482	5.36541	5.33417	5.32643	5.32403	5.32281	5.36571
2.59	5.89272	5.44536	5.41426	5.40657	5.40421	5.40301	5.44682
2.6	5.97149	5.52615	5.4952	5.48757	5.48524	5.48405	5.52879
2.61	6.05114	5.6078	5.577	5.56942	5.56712	5.56596	5.61164
2.62	6.13167	5.69031	5.65966	5.65214	5.64987	5.64872	5.69537
2.63	6.21309	5.77367	5.74319	5.73572	5.73348	5.73236	5.77999
2.64	6.29539	5.85791	5.82758	5.82017	5.81797	5.81687	5.86549
2.65	6.37859	5.94302	5.91285	5.90551	5.90334	5.90225	5.95189
2.66	6.46269	6.02901	5.999	5.99172	5.98959	5.98852	6.03918
2.67	6.54769	6.11588	6.08604	6.07882	6.07672	6.07568	6.12738
2.68	6.6336	6.20364	6.17397	6.16681	6.16475	6.16373	6.21649
2.69	6.72041	6.29229	6.26279	6.25569	6.25367	6.25267	6.30651
2.7	6.80814	6.38184	6.35251	6.34548	6.34304	6.34252	6.39745
2.71	6.89679	6.47229	6.44314	6.43617	6.43422	6.43328	6.48931
2.72	6.98635	6.56365	6.53467	6.52778	6.52587	6.52494	6.5821
2.73	7.07684	6.65591	6.62712	6.62029	6.61843	6.61752	6.67582
2.74	7.16826	6.7491	6.72049	6.71373	6.71191	6.71103	6.77047
2.75	7.26062	6.84321	6.81478	6.80809	6.80631	6.80546	6.86607
2.76	7.3539	6.93824	6.91	6.90338	6.90164	6.90081	6.96261
2.77	7.44813	7.0342	7.00615	6.99961	6.99791	6.99711	7.0601
2.78	7.54331	7.1311	7.10324	7.09677	7.09512	7.09434	7.15855
2.79	7.63943	7.22894	7.20127	7.19488	7.19327	7.19252	7.25796
2.8	7.73651	7.32772	7.30025	7.29393	7.29237	7.29164	7.35833
2.81	7.83454	7.42746	7.40018	7.39394	7.39194	7.39172	7.45967
2.82	7.93353	7.52814	7.50107	7.4949	7.49342	7.49276	7.56198
2.83	8.03349	7.62979	7.60291	7.59683	7.59539	7.59476	7.66527
2.84	8.13442	7.73239	7.70572	7.69972	7.69833	7.69772	7.76954
2.85	8.23631	7.83597	7.8095	7.80358	7.80224	7.80166	7.8748
2.86	8.33918	7.94051	7.91425	7.90841	7.90712	7.90657	7.98105
2.87	8.44304	8.04603	8.01998	8.01422	8.01298	8.01246	8.08829
2.88	8.54787	8.15253	8.12669	8.12102	8.11983	8.11934	8.19653
2.89	8.6537	8.26002	8.23439	8.2288	8.22716	8.2272	8.30578
2.9	8.76051	8.36849	8.34308	8.33758	8.33648	8.33606	8.41603
