gmix	NTG1	NTG3	NTG5	NTG7	NTG9	NTG11	model
3.73	21.4173	21.1834	21.1825	21.1885	21.1928	21.1966	21.4385
3.74	21.6215	21.3872	21.3867	21.3928	21.3973	21.4011	21.6455
3.75	21.8244	21.5923	21.5921	21.5984	21.603	21.6069	21.8537
3.76	22.0284	21.7987	21.7988	21.8053	21.8099	21.8139	22.0632
3.77	22.2311	22.0062	22.0068	22.0133	22.018	22.0221	22.274
3.78	22.4401	22.215	22.2159	22.2227	22.2274	22.2316	22.4861
3.79	22.6453	22.4251	22.4263	22.4319	22.4381	22.4423	22.6994
3.8	22.8542	22.6364	22.638	22.6437	22.65	22.6542	22.9139
3.81	23.0644	22.8489	22.8508	22.8567	22.8631	22.8674	23.1297
3.82	23.2758	23.0627	23.065	23.071	23.0775	23.0818	23.3468
3.83	23.4885	23.2777	23.2803	23.2865	23.2918	23.2975	23.5652
3.84	23.7024	23.494	23.497	23.5033	23.5086	23.5144	23.7848
3.85	23.9175	23.7115	23.7148	23.7213	23.7267	23.7326	24.0057
3.86	24.1339	23.9302	23.9339	23.9405	23.946	23.952	24.2278
3.87	24.3515	24.1502	24.1543	24.161	24.1666	24.1713	24.4513
3.88	24.5704	24.3715	24.3759	24.3827	24.3884	24.3932	24.676
3.89	24.7905	24.594	24.5987	24.6057	24.6115	24.6163	24.9019
3.9	25.0119	24.8177	24.8228	24.8299	24.8358	24.8407	25.1292
3.91	25.2345	25.0427	25.0481	25.0554	25.0613	25.0663	25.3577
3.92	25.4583	25.269	25.2747	25.2821	25.2881	25.2932	25.5875
3.93	25.6834	25.4964	25.5025	25.51	25.5162	25.5213	25.8185
3.94	25.9097	25.7252	25.7315	25.7392	25.7454	25.7506	26.0509
3.95	26.1373	25.9551	25.9618	25.9697	25.976	25.9812	26.2845
3.96	26.3661	26.1864	26.1934	26.2014	26.2077	26.2131	26.5194
3.97	26.5961	26.4188	26.4262	26.4343	26.4407	26.4461	26.7556
3.98	26.8274	26.6526	26.6602	26.6685	26.675	26.6805	26.993
3.99	27.06	26.8875	26.8955	26.9039	26.9105	26.916	27.2318
4	27.2938	27.1237	27.132	27.1405	27.1472	27.1528	27.4718
4.01	27.5288	27.3612	27.3698	27.3784	27.3852	27.3909	27.7131
4.02	27.7651	27.5999	27.6088	27.6176	27.6244	27.6301	27.9557
4.03	28.0026	27.8399	27.8491	27.8579	27.8649	27.8707	28.1996
4.04	28.2414	28.0811	28.0906	28.0995	28.1066	28.1124	28.4447
4.05	28.4814	28.3235	28.3333	28.3424	28.3495	28.3554	28.6912
4.06	28.7227	28.5672	28.5773	28.5865	28.5937	28.5997	28.9389
4.07	28.9652	28.8121	28.8225	28.8318	28.8391	28.8451	29.1879
4.08	29.209	29.0583	29.069	29.0784	29.0857	29.0918	29.4382
4.09	29.454	29.3057	29.3167	29.3262	29.3336	29.3398	29.6898
4.1	29.7003	29.5544	29.5656	29.5752	29.5827	29.5911	29.9426
4.11	29.9478	29.8043	29.8158	29.8255	29.8331	29.8415	30.1968
4.12	30.1965	30.0527	30.0672	30.077	30.0867	30.0931	30.4522
4.13	30.4465	30.3078	30.3198	30.3298	30.3396	30.346	30.709
4.14	30.6977	30.5587	30.5737	30.5837	30.5936	30.6001	30.967
4.15	30.9502	30.8134	30.8288	30.8403	30.8489	30.8554	31.2263
4.16	31.2039	31.0695	31.0851	31.0968	31.1054	31.1124	31.4869
4.17	31.4589	31.3268	31.3427	31.3551	31.3631	31.3701	31.7488
4.18	31.7151	31.5854	31.5987	31.6133	31.6221	31.6292	32.012
4.19	31.9726	31.8452	31.8586	31.8741	31.8822	31.8894	32.2765
4.2	32.2312	32.1062	32.1199	32.1306	32.1436	32.1509	32.5422
4.21	32.4912	32.3684	32.3823	32.398	32.4063	32.4135	32.8093
4.22	32.7523	32.6319	32.646	32.657	32.6653	32.6774	33.0776
4.23	33.0148	32.8966	32.9109	32.9218	32.9301	32.9374	33.3472
4.24	33.2784	33.1625	33.177	33.188	33.1964	33.2035	33.6182
4.25	33.5433	33.4297	33.4444	33.4554	33.4639	33.4711	33.8904
4.26	33.8094	33.6981	33.713	33.724	33.7326	33.7398	34.1639
4.27	34.0768	33.9677	33.9827	33.9939	34.0025	34.0098	34.4387
4.28	34.3454	34.2385	34.2537	34.265	34.2736	34.281	34.7148
4.29	34.6152	34.5105	34.5259	34.5372	34.546	34.5534	34.9922
4.3	34.8862	34.7838	34.7994	34.8107	34.8195	34.827	35.2708
4.31	35.1585	35.0583	35.074	35.0854	35.0942	35.1072	35.5508
4.32	35.432	35.3339	35.3498	35.3613	35.3756	35.3832	35.832
4.33	35.7068	35.6108	35.6269	35.6435	35.6528	35.6605	36.1146
4.34	35.9827	35.8889	35.9051	35.9218	35.9312	35.9389	36.3984
4.35	36.2599	36.1683	36.1897	36.2013	36.2107	36.2185	36.6835
4.36	36.5384	36.4488	36.4703	36.482	36.4915	36.4993	36.9699
4.37	36.818	36.7305	36.7522	36.764	36.7735	36.7814	37.2577
4.38	37.0989	37.0135	37.0353	37.0471	37.0566	37.0646	37.5466
4.39	37.381	37.2976	37.3195	37.3317	37.341	37.349	37.8369
4.4	37.6643	37.5873	37.605	37.6172	37.6265	37.6346	38.1285
4.41	37.9488	37.8739	37.8916	37.9035	37.9133	37.9214	38.4214
4.42	38.2346	38.1616	38.1794	38.1918	38.2012	38.2094	38.7155
4.43	38.5215	38.4506	38.4684	38.4808	38.4903	38.4986	39.011
4.44	38.8097	38.7407	38.7587	38.7711	38.7806	38.7889	39.3077
4.45	39.0991	39.032	39.05	39.0625	39.0721	39.0805	39.6057
4.46	39.3836	39.3245	39.3426	39.3551	39.3648	39.3732	39.905
4.47	39.675	39.6182	39.6364	39.6489	39.6586	39.6671	40.2056
4.48	39.968	39.9138	39.9313	39.9439	39.9536	39.9622	40.5075
4.49	40.2622	40.2098	40.2274	40.24	40.2498	40.2587	40.8106
4.5	40.5576	40.5064	40.5247	40.5374	40.5472	40.5559	41.1151
4.51	40.8542	40.8048	40.8232	40.8359	40.8458	40.8547	41.4208
4.52	41.152	41.1044	41.1228	41.1355	41.1455	41.1545	41.7279
4.53	41.451	41.4059	41.424	41.4364	41.4464	41.4555	42.0362
4.54	41.7512	41.7078	41.7256	41.7384	41.7485	41.7576	42.3458
4.55	42.0526	41.9999	42.0288	42.0416	42.0517	42.0609	42.6566
4.56	42.3552	42.3152	42.322	42.3459	42.3561	42.3654	42.9688
4.57	42.659	42.6096	42.6389	42.64	42.6502	42.671	43.2823
4.58	42.964	42.9155	42.9341	42.9581	42.9684	42.9662	43.597
4.59	43.2702	43.2232	43.2412	43.2544	43.2648	43.2858	43.913
4.6	43.5775	43.5322	43.5501	43.5627	43.5732	43.5949	44.2303
4.61	43.8861	43.8423	43.8602	43.8728	43.8833	43.9052	44.5489
4.62	44.1958	44.1535	44.1714	44.1841	44.1947	44.2167	44.8687
4.63	44.5067	44.4659	44.4838	44.5088	44.5196	44.5292	45.1898
4.64	44.8188	44.7794	44.8096	44.8224	44.8332	44.843	45.5123
4.65	45.132	45.106	45.1244	45.1371	45.1481	45.1579	45.836
4.66	45.4464	45.4219	45.4402	45.453	45.464	45.4739	46.1609
4.67	45.762	45.7389	45.7572	45.7701	45.7811	45.7912	46.4872
4.68	46.0788	46.0571	46.0754	46.0883	46.0994	46.1095	46.8147
4.69	46.3967	46.3764	46.3947	46.4076	46.4188	46.429	47.1435
4.7	46.7158	46.6968	46.7151	46.7281	46.7394	46.7496	47.4736
4.71	47.0458	47.0184	47.0367	47.0497	47.061	47.0714	47.8049
4.72	47.3689	47.3411	47.3594	47.3725	47.3839	47.3943	48.1375
4.73	47.69	47.665	47.6832	47.6964	47.7078	47.7184	48.4714
4.74	48.0138	47.9899	48.0082	48.0214	48.0329	48.0436	48.8066
4.75	48.3387	48.3161	48.3343	48.3475	48.3592	48.3699	49.1431
4.76	48.6662	48.6433	48.6616	48.6748	48.6866	48.6974	49.4808
4.77	48.992	48.9717	48.9899	49.0032	49.0151	49.026	49.8198
4.78	49.3218	49.3012	49.3194	49.3329	49.3447	49.3557	50.16
4.79	49.6498	49.6318	49.65	49.6636	49.6754	49.6866	50.5015
4.8	49.9819	49.9635	49.9818	49.9952	50.0073	50.0186	50.8443
4.81	50.3137	50.2964	50.3146	50.3282	50.3403	50.3517	51.1884
4.82	50.6466	50.6304	50.6486	50.6622	50.6745	50.6859	51.5337
4.83	50.9807	50.9655	50.9837	50.9973	51.0097	51.0213	51.8803
4.84	51.3159	51.3017	51.3199	51.3338	51.3461	51.3578	52.2282
4.85	51.6522	51.639	51.6572	51.671	51.6836	51.6954	52.5773
4.86	51.9897	51.9774	51.9956	52.0097	52.0222	52.0341	52.9277
4.87	52.3283	52.317	52.3352	52.3491	52.3619	52.3739	53.2793
4.88	52.668	52.6576	52.6758	52.69	52.7027	52.7149	53.6322
4.89	53.0088	52.9997	53.0176	53.0318	53.0446	53.0569	53.9864
4.9	53.3508	53.3425	53.3604	53.3747	53.3877	53.4001	54.3418
4.91	53.6939	53.6865	53.7044	53.7188	53.7318	53.7444	54.6985
4.92	54.038	54.0312	54.0494	54.0639	54.0771	54.0897	55.0564
4.93	54.3833	54.3773	54.3956	54.4102	54.4234	54.4362	55.4157
4.94	54.7298	54.7249	54.7428	54.7575	54.7709	54.7838	55.7761
4.95	55.0773	55.0732	55.0912	55.1059	55.1194	55.1325	56.1378
4.96	55.4012	55.4223	55.4406	55.4554	55.4691	55.4823	56.5008
4.97	55.7755	55.7731	55.7911	55.8061	55.8198	55.8332	56.865
4.98	56.1017	56.1247	56.1428	56.1578	56.1717	56.1851	57.2305
4.99	56.4783	56.4517	56.4697	56.4847	56.4987	56.5123	57.5972
5	56.8066	56.8311	56.8492	56.8645	56.8786	56.8924	57.9652
