T	PN_num	PN_ana
0.2381	0.26625	0.27306
0.23914	0.26573	0.27216
0.24018	0.2652	0.27123
0.24123	0.26468	0.27031
0.24227	0.26417	0.26941
0.24332	0.26365	0.26852
0.24436	0.26314	0.26764
0.24541	0.26263	0.26678
0.24645	0.26213	0.26593
0.24749	0.26162	0.26508
0.24854	0.26113	0.26425
0.24958	0.26063	0.26344
0.25063	0.26014	0.26263
0.25167	0.25965	0.26186
0.25272	0.25916	0.26107
0.25376	0.25867	0.26029
0.2548	0.25819	0.25952
0.25585	0.25771	0.25876
0.25689	0.25724	0.25801
0.25794	0.25676	0.25727
0.25898	0.25629	0.25653
0.26003	0.25582	0.25581
0.26107	0.25536	0.25509
0.26211	0.25489	0.25439
0.26316	0.25443	0.25369
0.2642	0.25398	0.253
0.26525	0.25352	0.25231
0.26629	0.25307	0.25164
0.26734	0.25262	0.251
0.26838	0.25217	0.25033
0.26942	0.25173	0.24968
0.27047	0.25128	0.24903
0.27151	0.25084	0.24839
0.27256	0.2504	0.24775
0.2736	0.24997	0.24712
0.27465	0.24953	0.2465
0.27569	0.2491	0.24589
0.27673	0.24868	0.24528
0.27778	0.24825	0.24468
0.27882	0.24782	0.24408
0.27987	0.2474	0.24349
0.28091	0.24698	0.2429
0.28196	0.24656	0.24232
0.283	0.24615	0.24175
0.28404	0.24574	0.24118
0.28509	0.24532	0.24062
0.28613	0.24492	0.24006
0.28718	0.24451	0.23951
0.28822	0.2441	0.23896
0.28927	0.2437	0.23842
0.29031	0.2433	0.2379
0.29135	0.2429	0.23737
0.2924	0.24251	0.23684
0.29344	0.24211	0.23632
0.29449	0.24172	0.2358
0.29553	0.24133	0.23528
0.29658	0.24094	0.23477
0.29762	0.24055	0.23426
0.29866	0.24017	0.23376
0.29971	0.23978	0.23326
0.30075	0.2394	0.23277
0.3018	0.23902	0.23228
0.30284	0.23864	0.2318
0.30389	0.23827	0.23131
0.30493	0.2379	0.23084
0.30597	0.23752	0.23036
0.30702	0.23715	0.22989
0.30806	0.23678	0.22943
0.30911	0.23642	0.22897
0.31015	0.23605	0.22851
0.3112	0.23569	0.22805
0.31224	0.23533	0.2276
0.31328	0.23497	0.22715
0.31433	0.23461	0.22671
0.31537	0.23425	0.22627
0.31642	0.2339	0.22583
0.31746	0.23355	0.2254
0.31851	0.23319	0.22497
0.31955	0.23284	0.22454
0.32059	0.2325	0.22411
0.32164	0.23215	0.22371
0.32268	0.2318	0.22329
0.32373	0.23146	0.22288
0.32477	0.23112	0.22246
0.32582	0.23078	0.22205
0.32686	0.23044	0.22165
0.3279	0.2301	0.22124
0.32895	0.22977	0.22084
0.32999	0.22943	0.22044
0.33104	0.2291	0.22004
0.33208	0.22877	0.21965
0.33313	0.22844	0.21926
0.33417	0.22811	0.21887
0.33521	0.22778	0.21849
0.33626	0.22746	0.2181
0.3373	0.22713	0.21772
0.33835	0.22681	0.21735
0.33939	0.22649	0.21697
0.34044	0.22617	0.2166
0.34148	0.22585	0.21623
0.34252	0.22553	0.21586
0.34357	0.22522	0.2155
0.34461	0.2249	0.21513
0.34566	0.22459	0.21477
0.3467	0.22428	0.21441
0.34775	0.22397	0.21406
0.34879	0.22366	0.2137
0.34983	0.22335	0.21335
0.35088	0.22304	0.213
0.35192	0.22274	0.21266
0.35297	0.22243	0.21231
0.35401	0.22213	0.21197
0.35506	0.22183	0.21163
0.3561	0.22153	0.21129
0.35714	0.22123	0.21095
0.35819	0.22093	0.21062
0.35923	0.22064	0.21028
0.36028	0.22034	0.20995
0.36132	0.22005	0.20963
0.36237	0.21975	0.2093
0.36341	0.21946	0.20897
0.36445	0.21917	0.20865
0.3655	0.21888	0.20833
0.36654	0.2186	0.20801
0.36759	0.21831	0.20769
0.36863	0.21802	0.20738
0.36968	0.21774	0.20706
0.37072	0.21745	0.20675
0.37176	0.21717	0.20646
0.37281	0.21689	0.20615
0.37385	0.21661	0.20584
0.3749	0.21633	0.20553
0.37594	0.21605	0.20523
0.37699	0.21578	0.20493
0.37803	0.2155	0.20463
0.37907	0.21523	0.20433
0.38012	0.21495	0.20403
0.38116	0.21468	0.20373
0.38221	0.21441	0.20344
0.38325	0.21414	0.20315
0.3843	0.21387	0.20286
0.38534	0.2136	0.20257
0.38638	0.21333	0.20228
0.38743	0.21307	0.20199
0.38847	0.2128	0.20171
0.38952	0.21254	0.20142
0.39056	0.21227	0.20114
0.39161	0.21201	0.20086
0.39265	0.21175	0.20058
0.39369	0.21149	0.20031
0.39474	0.21123	0.20003
0.39578	0.21097	0.19975
0.39683	0.21071	0.19948
0.39787	0.21046	0.19921
0.39892	0.2102	0.19894
0.39996	0.20995	0.19867
0.401	0.20969	0.1984
0.40205	0.20944	0.19813
0.40309	0.20919	0.19787
0.40414	0.20894	0.19761
0.40518	0.20869	0.19734
0.40623	0.20844	0.19708
0.40727	0.20819	0.19682
0.40831	0.20795	0.19656
0.40936	0.2077	0.1963
0.4104	0.20745	0.19605
0.41145	0.20721	0.19579
0.41249	0.20697	0.19554
0.41354	0.20672	0.19529
0.41458	0.20648	0.19503
0.41562	0.20624	0.19478
0.41667	0.206	0.19453
0.41771	0.20576	0.19429
0.41876	0.20552	0.19404
0.4198	0.20528	0.19379
0.42085	0.20505	0.19355
0.42189	0.20481	0.19331
0.42293	0.20458	0.19306
0.42398	0.20434	0.19282
0.42502	0.20411	0.19258
0.42607	0.20388	0.19234
0.42711	0.20364	0.1921
0.42816	0.20341	0.19187
0.4292	0.20318	0.19163
0.43024	0.20295	0.1914
0.43129	0.20272	0.19116
0.43233	0.2025	0.19093
0.43338	0.20227	0.1907
0.43442	0.20204	0.19047
0.43547	0.20182	0.19024
0.43651	0.20159	0.19001
0.43755	0.20137	0.18978
0.4386	0.20115	0.18955
0.43964	0.20092	0.18933
0.44069	0.2007	0.1891
0.44173	0.20048	0.18888
0.44278	0.20026	0.18866
0.44382	0.20004	0.18843
0.44486	0.19982	0.18821
0.44591	0.1996	0.18799
0.44695	0.19939	0.18777
0.448	0.19917	0.18756
0.44904	0.19895	0.18734
0.45009	0.19874	0.18712
0.45113	0.19852	0.18691
0.45217	0.19831	0.18669
0.45322	0.1981	0.18648
0.45426	0.19789	0.18626
0.45531	0.19767	0.18605
0.45635	0.19746	0.18585
0.4574	0.19725	0.18564
0.45844	0.19704	0.18543
0.45948	0.19683	0.18522
0.46053	0.19663	0.18501
0.46157	0.19642	0.18481
0.46262	0.19621	0.1846
0.46366	0.196	0.18439
0.46471	0.1958	0.18419
0.46575	0.19559	0.18399
0.46679	0.19539	0.18378
0.46784	0.19519	0.18358
0.46888	0.19498	0.18338
0.46993	0.19478	0.18318
0.47097	0.19458	0.18298
0.47202	0.19438	0.18278
0.47306	0.19418	0.18258
0.4741	0.19398	0.18238
0.47515	0.19378	0.18219
0.47619	0.19358	0.18199
0.47724	0.19338	0.18179
0.47828	0.19319	0.1816
0.47933	0.19299	0.18141
0.48037	0.19279	0.18121
0.48141	0.1926	0.18102
0.48246	0.1924	0.18083
0.4835	0.19221	0.18064
0.48455	0.19201	0.18045
0.48559	0.19182	0.18026
0.48664	0.19163	0.18007
0.48768	0.19144	0.17988
0.48872	0.19125	0.17969
0.48977	0.19105	0.17951
0.49081	0.19086	0.17932
0.49186	0.19067	0.17913
0.4929	0.19049	0.17895
0.49395	0.1903	0.17876
0.49499	0.19011	0.17858
0.49603	0.18992	0.1784
0.49708	0.18974	0.17822
0.49812	0.18955	0.17803
0.49917	0.18936	0.17785
0.50021	0.18918	0.17767
0.50126	0.18899	0.17749
0.5023	0.18881	0.17732
0.50334	0.18863	0.17714
0.50439	0.18844	0.17696
0.50543	0.18826	0.17678
0.50648	0.18808	0.17661
0.50752	0.1879	0.17643
0.50857	0.18772	0.17625
0.50961	0.18754	0.17608
0.51065	0.18736	0.17591
0.5117	0.18718	0.17573
0.51274	0.187	0.17556
0.51379	0.18682	0.17539
0.51483	0.18664	0.17522
0.51588	0.18647	0.17505
0.51692	0.18629	0.17487
0.51796	0.18611	0.17471
0.51901	0.18594	0.17454
0.52005	0.18576	0.17437
0.5211	0.18559	0.1742
0.52214	0.18542	0.17403
