x	psi1	psi2	psi3	rho1	rho2	rho3
-22.2168	4.37694e-12	0.14	0.21	0	0	0
-22.1924	4.37694e-12	0.14	0.21	0	0	0
-22.168	4.37694e-12	0.14	0.21	0	0	0
-22.1436	4.37694e-12	0.14	0.21	0	0	0
-22.1191	4.37694e-12	0.14	0.21	0	0	0
-22.0947	4.37694e-12	0.14	0.21	0	0	0
-22.0703	4.37694e-12	0.14	0.21	0	0	0
-22.0459	4.37694e-12	0.14	0.21	0	0	0
-22.0215	4.37694e-12	0.14	0.21	0	0	0
-21.9971	4.37694e-12	0.14	0.21	0	0	0
-21.9727	4.37694e-12	0.14	0.21	0	0	0
-21.9482	4.37694e-12	0.14	0.21	0	0	0
-21.9238	4.37694e-12	0.14	0.21	0	0	0
-21.8994	4.37694e-12	0.14	0.21	0	0	0
-21.875	4.37694e-12	0.14	0.21	0	0	0
-21.8506	4.37694e-12	0.14	0.21	0	0	0
-21.8262	4.37694e-12	0.14	0.21	0	0	0
-21.8018	4.37694e-12	0.14	0.21	0	0	0
-21.7773	4.37694e-12	0.14	0.21	0	0	0
-21.7529	4.37694e-12	0.14	0.21	0	0	0
-21.7285	4.37694e-12	0.14	0.21	0	0	0
-21.7041	4.37694e-12	0.14	0.21	0	0	0
-21.6797	4.37694e-12	0.14	0.21	0	0	0
-21.6553	4.37694e-12	0.14	0.21	0	0	0
-21.6309	4.37694e-12	0.14	0.21	0	0	0
-21.6064	4.37694e-12	0.14	0.21	0	0	0
-21.582	4.37694e-12	0.14	0.21	0	0	0
-21.5576	4.37694e-12	0.14	0.21	0	0	0
-21.5332	4.37694e-12	0.14	0.21	0	0	0
-21.5088	4.37694e-12	0.14	0.21	0	0	0
-21.4844	4.37694e-12	0.14	0.21	0	0	0
-21.46	4.37694e-12	0.14	0.21	0	0	0
-21.4355	4.37694e-12	0.14	0.21	0	0	0
-21.4111	4.37694e-12	0.14	0.21	0	0	0
-21.3867	4.37694e-12	0.14	0.21	0	0	0
-21.3623	4.37694e-12	0.14	0.21	0	0	0
-21.3379	4.37694e-12	0.14	0.21	0	0	0
-21.3135	4.37694e-12	0.14	0.21	0	0	0
-21.2891	4.37694e-12	0.14	0.21	0	0	0
-21.2646	4.37694e-12	0.14	0.21	0	0	0
-21.2402	4.37694e-12	0.14	0.21	0	0	0
-21.2158	4.37694e-12	0.14	0.21	0	0	0
-21.1914	4.37694e-12	0.14	0.21	0	0	0
-21.167	4.37694e-12	0.14	0.21	0	0	0
-21.1426	4.37694e-12	0.14	0.21	0	0	0
-21.1182	4.37694e-12	0.14	0.21	0	0	0
-21.0938	4.37694e-12	0.14	0.21	0	0	0
-21.0693	4.37694e-12	0.14	0.21	0	0	0
-21.0449	4.37694e-12	0.14	0.21	0	0	0
-21.0205	4.37694e-12	0.14	0.21	0	0	0
-20.9961	4.37694e-12	0.14	0.21	0	0	0
-20.9717	4.37694e-12	0.14	0.21	0	0	0
-20.9473	4.37694e-12	0.14	0.21	0	0	0
-20.9229	4.37694e-12	0.14	0.21	0	0	0
-20.8984	4.37694e-12	0.14	0.21	0	0	0
-20.874	4.37694e-12	0.14	0.21	0	0	0
-20.8496	4.37694e-12	0.14	0.21	0	0	0
-20.8252	4.37694e-12	0.14	0.21	0	0	0
-20.8008	4.37694e-12	0.14	0.21	0	0	0
-20.7764	4.37694e-12	0.14	0.21	0	0	0
-20.752	4.37694e-12	0.14	0.21	0	0	0
-20.7275	4.37694e-12	0.14	0.21	0	0	0
-20.7031	4.37694e-12	0.14	0.21	0	0	0
-20.6787	4.37694e-12	0.14	0.21	0	0	0
-20.6543	4.37694e-12	0.14	0.21	0	0	0
-20.6299	4.37694e-12	0.14	0.21	0	0	0
-20.6055	4.37694e-12	0.14	0.21	0	0	0
-20.5811	4.37694e-12	0.14	0.21	0	0	0
-20.5566	4.37694e-12	0.14	0.21	0	0	0
-20.5322	4.37694e-12	0.14	0.21	0	0	0
-20.5078	4.37694e-12	0.14	0.21	0	0	0
-20.4834	4.37694e-12	0.14	0.21	0	0	0
-20.459	4.37694e-12	0.14	0.21	0	0	0
-20.4346	4.37694e-12	0.14	0.21	0	0	0
-20.4102	4.37694e-12	0.14	0.21	0	0	0
-20.3857	4.37694e-12	0.14	0.21	0	0	0
-20.3613	4.37694e-12	0.14	0.21	0	0	0
-20.3369	4.37694e-12	0.14	0.21	0	0	0
-20.3125	4.37694e-12	0.14	0.21	0	0	0
-20.2881	4.37694e-12	0.14	0.21	3.78151e-127	1.03407e-127	2.7932e-129
-20.2637	4.37694e-12	0.14	0.21	5.37395e-117	1.46953e-117	3.96944e-119
-20.2393	4.37694e-12	0.14	0.21	7.63709e-107	2.0884e-107	5.64111e-109
-20.2148	4.37694e-12	0.14	0.21	1.08533e-96	2.9679e-97	8.01676e-99
-20.1904	4.37694e-12	0.14	0.21	1.5424e-86	4.21778e-87	1.13929e-88
-20.166	4.37694e-12	0.14	0.21	2.19196e-76	5.99402e-77	1.61908e-78
-20.1416	4.37694e-12	0.14	0.21	3.11506e-66	8.51831e-67	2.30093e-68
-20.1172	4.37694e-12	0.139999	0.21	4.42692e-56	1.21056e-56	3.26993e-58
-20.0928	4.37694e-12	0.139998	0.21	6.29125e-46	1.72037e-46	4.647e-48
-20.0684	4.37694e-12	0.139996	0.209999	8.9407e-36	2.44488e-36	6.60401e-38
-20.0439	4.37694e-12	0.139993	0.209999	1.27059e-25	3.4745e-26	9.38518e-28
-20.0195	4.37694e-12	0.139985	0.209999	1.80568e-15	4.93773e-16	1.33376e-17
-19.9951	4.37694e-12	0.139971	0.209998	2.56611e-05	7.01717e-06	1.89545e-07
-19.9707	4.37694e-12	0.139946	0.209997	0.000102631	2.80723e-05	7.58743e-07
-19.9463	4.37694e-12	0.139909	0.209996	0.000230872	6.31771e-05	1.7093e-06
-19.9219	4.37694e-12	0.139859	0.209994	0.000410321	0.000112351	3.04408e-06
-19.8975	4.37694e-12	0.139795	0.209991	0.000640891	0.000175621	4.7671e-06
-19.873	4.37694e-12	0.139717	0.209988	0.000922468	0.000253023	6.88352e-06
-19.8486	4.37694e-12	0.139625	0.209984	0.00125491	0.000344599	9.39971e-06
-19.8242	4.37694e-12	0.139519	0.20998	0.00163807	0.000450399	1.23232e-05
-19.7998	4.37694e-12	0.139399	0.209975	0.00207174	0.000570483	1.56629e-05
-19.7754	4.37694e-12	0.139264	0.209969	0.00255572	0.000704915	1.94286e-05
-19.751	4.37694e-12	0.139115	0.209963	0.00308976	0.000853771	2.36319e-05
-19.7266	4.37694e-12	0.138951	0.209956	0.00367362	0.00101713	2.82852e-05
-19.7021	4.37694e-12	0.138772	0.209948	0.00430699	0.00119509	3.34026e-05
-19.6777	4.37694e-12	0.138579	0.209939	0.00498959	0.00138774	3.89995e-05
-19.6533	4.37694e-12	0.138371	0.20993	0.00572105	0.00159518	4.50926e-05
-19.6289	4.37694e-12	0.138148	0.20992	0.00650104	0.00181753	5.17003e-05
-19.6045	4.37694e-12	0.137911	0.20991	0.00732918	0.00205492	5.88425e-05
-19.5801	4.37694e-12	0.137657	0.209898	0.00820504	0.00230746	6.65405e-05
-19.5557	4.37694e-12	0.137389	0.209885	0.00912822	0.00257531	7.48175e-05
-19.5312	4.37694e-12	0.137105	0.209872	0.0100983	0.00285859	8.36984e-05
-19.5068	4.37694e-12	0.136805	0.209858	0.0111147	0.00315746	9.32098e-05
-19.4824	4.37694e-12	0.13649	0.209842	0.012177	0.00347209	0.00010338
-19.458	4.37694e-12	0.136159	0.209826	0.0132847	0.00380263	0.000114241
-19.4336	4.37694e-12	0.135811	0.209808	0.0144372	0.00414927	0.000125823
-19.4092	4.37694e-12	0.135447	0.20979	0.015634	0.00451219	0.000138163
-19.3848	4.37694e-12	0.135067	0.20977	0.0168745	0.00489158	0.000151296
-19.3604	4.37694e-12	0.13467	0.209749	0.0181581	0.00528764	0.000165264
-19.3359	4.37694e-12	0.134256	0.209726	0.0194841	0.00570058	0.000180106
-19.3115	4.37694e-12	0.133825	0.209702	0.020852	0.0061306	0.000195869
-19.2871	4.37694e-12	0.133377	0.209677	0.022261	0.00657793	0.000212599
-19.2627	4.37694e-12	0.132911	0.20965	0.0237105	0.00704281	0.000230347
-19.2383	4.37694e-12	0.132427	0.209622	0.0251998	0.00752547	0.000249166
-19.2139	4.37694e-12	0.131925	0.209592	0.0267282	0.00802614	0.000269112
-19.1895	4.37694e-12	0.131405	0.20956	0.0282949	0.0085451	0.000290245
-19.165	4.37694e-12	0.130866	0.209526	0.0298992	0.00908259	0.000312629
-19.1406	4.37694e-12	0.130309	0.20949	0.0315402	0.00963888	0.000336331
-19.1162	4.37694e-12	0.129732	0.209452	0.0332173	0.0102142	0.000361421
-19.0918	4.37694e-12	0.129136	0.209412	0.0349296	0.010809	0.000387976
-19.0674	4.37694e-12	0.12852	0.20937	0.0366763	0.0114234	0.000416075
-19.043	4.37694e-12	0.127884	0.209325	0.0384565	0.0120577	0.000445801
-19.0186	4.37694e-12	0.127228	0.209277	0.0402694	0.0127123	0.000477245
-18.9941	4.37694e-12	0.126552	0.209227	0.0421142	0.0133874	0.0005105
-18.9697	4.37694e-12	0.125854	0.209174	0.0439899	0.0140834	0.000545667
-18.9453	4.37694e-12	0.125135	0.209118	0.0458956	0.0148006	0.00058285
-18.9209	4.37694e-12	0.124395	0.209058	0.0478306	0.0155394	0.000622161
-18.8965	4.37694e-12	0.123633	0.208995	0.0497937	0.0163	0.000663717
-18.8721	4.37694e-12	0.122848	0.208929	0.0517842	0.0170828	0.000707644
-18.8477	4.37694e-12	0.122041	0.208859	0.053801	0.0178882	0.000754073
-18.8232	4.37694e-12	0.121211	0.208785	0.0558433	0.0187165	0.000803142
-18.7988	4.37694e-12	0.120357	0.208706	0.05791	0.019568	0.000854999
-18.7744	4.37694e-12	0.11948	0.208624	0.0600002	0.0204432	0.000909798
-18.75	4.37694e-12	0.118579	0.208536	0.0621129	0.0213425	0.000967704
-18.7256	4.37694e-12	0.117654	0.208444	0.064247	0.0222661	0.00102889
-18.7012	4.37694e-12	0.116703	0.208346	0.0664017	0.0232145	0.00109354
-18.6768	4.37694e-12	0.115728	0.208243	0.0685759	0.024188	0.00116184
-18.6523	4.37694e-12	0.114727	0.208134	0.0707686	0.0251871	0.00123401
-18.6279	4.37694e-12	0.1137	0.208019	0.0729788	0.0262121	0.00131025
-18.6035	4.37694e-12	0.112646	0.207897	0.0752054	0.0272634	0.00139079
-18.5791	4.37694e-12	0.111566	0.207768	0.0774474	0.0283415	0.00147588
-18.5547	4.37694e-12	0.110459	0.207633	0.0797039	0.0294467	0.00156576
-18.5303	4.37694e-12	0.109324	0.207489	0.0819736	0.0305795	0.00166071
-18.5059	4.37694e-12	0.108161	0.207338	0.0842557	0.0317401	0.001761
-18.4814	4.37694e-12	0.10697	0.207177	0.086549	0.0329292	0.00186694
-18.457	4.37694e-12	0.10575	0.207008	0.0888526	0.0341469	0.00197885
-18.4326	4.37694e-12	0.104501	0.20683	0.0911653	0.0353939	0.00209705
-18.4082	4.37694e-12	0.103222	0.206641	0.0934861	0.0366704	0.00222189
-18.3838	4.37694e-12	0.101913	0.206442	0.095814	0.0379769	0.00235375
-18.3594	4.37694e-12	0.100574	0.206232	0.0981478	0.0393137	0.00249303
-18.335	4.37694e-12	0.099204	0.206009	0.100487	0.0406814	0.00264012
-18.3105	4.37694e-12	0.0978028	0.205775	0.102829	0.0420802	0.00279547
-18.2861	4.37694e-12	0.0963701	0.205527	0.105175	0.0435105	0.00295953
-18.2617	4.37694e-12	0.0949054	0.205265	0.107523	0.0449728	0.0031328
-18.2373	4.37694e-12	0.0934084	0.204989	0.109871	0.0464675	0.00331579
-18.2129	4.37694e-12	0.0918786	0.204697	0.112219	0.0479949	0.00350903
-18.1885	4.37694e-12	0.0903158	0.204389	0.114565	0.0495553	0.0037131
-18.1641	4.37694e-12	0.0887195	0.204063	0.11691	0.0511492	0.00392859
-18.1396	4.37694e-12	0.0870895	0.203719	0.119251	0.052777	0.00415615
-18.1152	4.37694e-12	0.0854253	0.203356	0.121587	0.0544388	0.00439644
-18.0908	4.37694e-12	0.0837266	0.202973	0.123919	0.0561351	0.00465016
-18.0664	4.37694e-12	0.0819931	0.202568	0.126244	0.0578662	0.00491807
-18.042	4.37694e-12	0.0802246	0.202141	0.128561	0.0596324	0.00520094
-18.0176	4.37694e-12	0.0784207	0.20169	0.13087	0.061434	0.0054996
-17.9932	4.37694e-12	0.0765812	0.201214	0.13317	0.0632713	0.00581492
-17.9688	4.37694e-12	0.0747058	0.200711	0.13546	0.0651445	0.00614783
-17.9443	4.37694e-12	0.0727943	0.20018	0.137738	0.0670538	0.00649929
-17.9199	4.37694e-12	0.0708464	0.19962	0.140004	0.0689995	0.00687033
-17.8955	4.37694e-12	0.068862	0.199028	0.142257	0.0709817	0.007262
-17.8711	4.37694e-12	0.0668409	0.198404	0.144495	0.0730008	0.00767546
-17.8467	4.37694e-12	0.064783	0.197745	0.146719	0.0750567	0.00811189
-17.8223	4.37694e-12	0.0626881	0.197049	0.148927	0.0771496	0.00857255
-17.7979	4.37694e-12	0.0605561	0.196315	0.151118	0.0792797	0.00905876
-17.7734	4.37694e-12	0.058387	0.19554	0.153291	0.0814469	0.00957191
-17.749	4.37694e-12	0.0561808	0.194722	0.155445	0.0836514	0.0101135
-17.7246	4.37694e-12	0.0539374	0.193859	0.15758	0.0858931	0.010685
-17.7002	4.37694e-12	0.0516569	0.192948	0.159695	0.088172	0.0112881
-17.6758	4.37694e-12	0.0493393	0.191988	0.161789	0.0904881	0.0119244
-17.6514	4.37694e-12	0.0469848	0.190974	0.163861	0.0928412	0.0125958
-17.627	4.37694e-12	0.0445934	0.189904	0.16591	0.0952312	0.0133042
-17.6025	4.37694e-12	0.0421655	0.188776	0.167936	0.0976579	0.0140515
-17.5781	4.37694e-12	0.0397012	0.187586	0.169937	0.100121	0.0148399
-17.5537	4.37694e-12	0.0372007	0.18633	0.171913	0.102621	0.0156714
-17.5293	4.37694e-12	0.0346645	0.185006	0.173864	0.105156	0.0165484
-17.5049	4.37694e-12	0.0320928	0.18361	0.175788	0.107727	0.0174734
-17.4805	4.37694e-12	0.0294861	0.182138	0.177685	0.110333	0.0184487
-17.4561	4.37694e-12	0.0268449	0.180585	0.179554	0.112974	0.0194772
-17.4316	4.37694e-12	0.0241697	0.178949	0.181395	0.115649	0.0205615
-17.4072	4.37694e-12	0.021461	0.177224	0.183207	0.118358	0.0217045
-17.3828	4.37694e-12	0.0187195	0.175405	0.184989	0.121099	0.0229094
-17.3584	4.37694e-12	0.0159458	0.173489	0.18674	0.123873	0.0241793
-17.334	4.37694e-12	0.0131408	0.171469	0.188461	0.126678	0.0255174
-17.3096	4.37694e-12	0.0103052	0.169342	0.19015	0.129515	0.0269274
-17.2852	4.37694e-12	0.00743996	0.1671	0.191807	0.132381	0.0284128
-17.2607	4.37694e-12	0.00454596	0.16474	0.193432	0.135276	0.0299775
-17.2363	4.37694e-12	0.00162421	0.162253	0.195023	0.138199	0.0316254
-17.2119	4.37694e-12	-0.0013242	0.159636	0.196581	0.141149	0.0333607
-17.1875	4.37694e-12	-0.00429814	0.15688	0.198105	0.144124	0.0351876
-17.1631	4.37694e-12	-0.00729639	0.153979	0.199595	0.147124	0.0371106
-17.1387	4.37694e-12	-0.0103177	0.150927	0.20105	0.150148	0.0391344
-17.1143	4.37694e-12	-0.0133607	0.147715	0.202469	0.153193	0.0412638
-17.0898	4.37694e-12	-0.0164239	0.144337	0.203853	0.156259	0.0435038
-17.0654	4.37694e-12	-0.0195059	0.140785	0.205201	0.159344	0.0458597
-17.041	4.37694e-12	-0.0226051	0.13705	0.206513	0.162446	0.0483368
-17.0166	4.37694e-12	-0.0257198	0.133125	0.207788	0.165564	0.0509406
-16.9922	4.37694e-12	-0.0288484	0.129	0.209026	0.168697	0.053677
-16.9678	4.37694e-12	-0.0319891	0.124667	0.210228	0.171841	0.0565517
-16.9434	4.37694e-12	-0.0351399	0.120117	0.211391	0.174996	0.0595709
-16.9189	4.37694e-12	-0.038299	0.11534	0.212517	0.17816	0.0627409
-16.8945	4.37694e-12	-0.0414644	0.110327	0.213606	0.18133	0.066068
-16.8701	4.37694e-12	-0.0446339	0.105068	0.214656	0.184504	0.0695587
-16.8457	4.37694e-12	-0.0478055	0.0995537	0.215668	0.187681	0.0732198
-16.8213	4.37694e-12	-0.0509769	0.0937731	0.216642	0.190858	0.0770579
-16.7969	4.37694e-12	-0.0541458	0.0877164	0.217578	0.194033	0.08108
-16.7725	4.37694e-12	-0.05731	0.0813731	0.218475	0.197203	0.085293
-16.748	4.37694e-12	-0.060467	0.0747329	0.219333	0.200366	0.089704
-16.7236	4.37694e-12	-0.0636143	0.0677855	0.220153	0.20352	0.0943198
-16.6992	4.37694e-12	-0.0667495	0.0605203	0.220935	0.206662	0.0991476
-16.6748	4.37694e-12	-0.0698699	0.0529271	0.221678	0.209789	0.104194
-16.6504	4.37694e-12	-0.0729729	0.0449957	0.222382	0.2129	0.109467
-16.626	4.37694e-12	-0.0760559	0.0367161	0.223048	0.21599	0.114972
-16.6016	4.37694e-12	-0.0791161	0.0280788	0.223675	0.219058	0.120716
-16.5771	4.37694e-12	-0.0821508	0.0190745	0.224264	0.222101	0.126705
-16.5527	4.37694e-12	-0.0851572	0.00969416	0.224815	0.225115	0.132946
-16.5283	4.37694e-12	-0.0881324	-7.03082e-05	0.225327	0.228099	0.139445
-16.5039	4.37694e-12	-0.0910737	-0.0102266	0.225802	0.231049	0.146205
-16.4795	4.37694e-12	-0.0939781	-0.0207814	0.226239	0.233962	0.153233
-16.4551	4.37694e-12	-0.0968427	-0.0317407	0.226638	0.236835	0.160531
-16.4307	4.37694e-12	-0.0996647	-0.0431095	0.227	0.239666	0.168105
-16.4062	4.37694e-12	-0.102441	-0.0548913	0.227324	0.242452	0.175956
-16.3818	4.37694e-12	-0.105169	-0.0670885	0.227612	0.245189	0.184086
-16.3574	4.37694e-12	-0.107846	-0.079702	0.227863	0.247875	0.192496
-16.333	4.37694e-12	-0.110468	-0.0927311	0.228078	0.250507	0.201186
-16.3086	4.37694e-12	-0.113034	-0.106173	0.228257	0.253082	0.210154
-16.2842	4.37694e-12	-0.115539	-0.120024	0.2284	0.255597	0.219397
-16.2598	4.37694e-12	-0.117982	-0.134276	0.228507	0.258049	0.228912
-16.2354	4.37694e-12	-0.120359	-0.148921	0.22858	0.260436	0.238693
-16.2109	4.37694e-12	-0.122668	-0.163947	0.228618	0.262755	0.248731
-16.1865	4.37694e-12	-0.124906	-0.17934	0.228622	0.265002	0.259019
-16.1621	4.37694e-12	-0.12707	-0.195082	0.228592	0.267176	0.269544
-16.1377	4.37694e-12	-0.129159	-0.211155	0.228529	0.269274	0.280294
-16.1133	4.37694e-12	-0.131169	-0.227534	0.228433	0.271294	0.291253
-16.0889	4.37694e-12	-0.133098	-0.244194	0.228304	0.273232	0.302404
-16.0645	4.37694e-12	-0.134943	-0.261104	0.228143	0.275087	0.313727
-16.04	4.37694e-12	-0.136704	-0.278232	0.227951	0.276856	0.3252
-16.0156	4.37694e-12	-0.138376	-0.29554	0.227728	0.278538	0.336799
-15.9912	4.37694e-12	-0.139959	-0.312988	0.227475	0.28013	0.348497
-15.9668	4.37694e-12	-0.141451	-0.330533	0.227192	0.28163	0.360265
-15.9424	4.37694e-12	-0.142849	-0.348127	0.226879	0.283037	0.37207
-15.918	4.37694e-12	-0.144152	-0.365721	0.226538	0.284348	0.38388
-15.8936	4.37694e-12	-0.145359	-0.383259	0.226169	0.285562	0.395657
-15.8691	4.37694e-12	-0.146468	-0.400685	0.225772	0.286679	0.407365
-15.8447	4.37694e-12	-0.147477	-0.41794	0.225348	0.287696	0.418961
-15.8203	4.37694e-12	-0.148386	-0.434961	0.224897	0.288612	0.430405
-15.7959	4.37694e-12	-0.149194	-0.451684	0.224421	0.289426	0.441654
-15.7715	4.37694e-12	-0.1499	-0.468042	0.22392	0.290138	0.452661
-15.7471	4.37694e-12	-0.150502	-0.483968	0.223395	0.290746	0.463381
-15.7227	4.37694e-12	-0.151001	-0.499394	0.222846	0.29125	0.473769
-15.6982	4.37694e-12	-0.151396	-0.514251	0.222274	0.29165	0.483777
-15.6738	4.37694e-12	-0.151686	-0.528469	0.221679	0.291946	0.493358
-15.6494	4.37694e-12	-0.151872	-0.541982	0.221063	0.292136	0.502467
-15.625	4.37694e-12	-0.151954	-0.554722	0.220425	0.292222	0.511058
-15.6006	4.37694e-12	-0.151932	-0.566627	0.219768	0.292204	0.519087
-15.5762	4.37694e-12	-0.151806	-0.577633	0.21909	0.292081	0.526513
-15.5518	4.37694e-12	-0.151577	-0.587683	0.218394	0.291854	0.533295
-15.5273	4.37694e-12	-0.151245	-0.596722	0.21768	0.291525	0.539397
-15.5029	4.37694e-12	-0.150811	-0.604701	0.216948	0.291093	0.544785
-15.4785	4.37694e-12	-0.150276	-0.611575	0.2162	0.29056	0.549427
