Tcrit	gMIX
0.02301	-1.8
0.022505	-1.79
0.022008	-1.78
0.02152	-1.77
0.02104	-1.76
0.020567	-1.75
0.020103	-1.74
0.019647	-1.73
0.019198	-1.72
0.018757	-1.71
0.018324	-1.7
0.017898	-1.69
0.017479	-1.68
0.017068	-1.67
0.016664	-1.66
0.016268	-1.65
0.015878	-1.64
0.015496	-1.63
0.01512	-1.62
0.014751	-1.61
0.014389	-1.6
0.014034	-1.59
0.013685	-1.58
0.013343	-1.57
0.013007	-1.56
0.012677	-1.55
0.012354	-1.54
0.012037	-1.53
0.011726	-1.52
0.011421	-1.51
0.011122	-1.5
0.010829	-1.49
0.010542	-1.48
0.010261	-1.47
0.0099848	-1.46
0.0097146	-1.45
0.0094499	-1.44
0.0091906	-1.43
0.0089366	-1.42
0.0086879	-1.41
0.0084445	-1.4
0.0082062	-1.39
0.0079729	-1.38
0.0077447	-1.37
0.0075214	-1.36
0.0073029	-1.35
0.0070892	-1.34
0.0068802	-1.33
0.0066759	-1.32
0.0064761	-1.31
0.0062809	-1.3
0.0060901	-1.29
0.0059036	-1.28
0.0057215	-1.27
0.0055436	-1.26
0.0053699	-1.25
0.0052003	-1.24
0.0050347	-1.23
0.0048731	-1.22
0.0047154	-1.21
0.0045616	-1.2
0.0044116	-1.19
0.0042653	-1.18
0.0041226	-1.17
0.0039836	-1.16
0.0038481	-1.15
0.0037161	-1.14
0.0035875	-1.13
0.0034623	-1.12
0.0033403	-1.11
0.0032217	-1.1
0.0031062	-1.09
0.0029938	-1.08
0.0028845	-1.07
0.0027782	-1.06
0.0026749	-1.05
0.0025745	-1.04
0.002477	-1.03
0.0023822	-1.02
0.0022902	-1.01
0.0022009	-1
0.0021142	-0.99
0.0020301	-0.98
0.0019485	-0.97
0.0018694	-0.96
0.0017928	-0.95
0.0017185	-0.94
0.0016466	-0.93
0.0015769	-0.92
0.0015095	-0.91
0.0014442	-0.9
0.0013811	-0.89
0.0013201	-0.88
0.0012611	-0.87
0.0012041	-0.86
0.0011491	-0.85
0.001096	-0.84
0.0010447	-0.83
0.0009953	-0.82
0.00094764	-0.81
0.00090171	-0.8
0.00085747	-0.79
0.00081488	-0.78
0.00077389	-0.77
0.00073447	-0.76
0.00069658	-0.75
0.00066017	-0.74
0.0006252	-0.73
0.00059165	-0.72
0.00055946	-0.71
0.00052861	-0.7
0.00049904	-0.69
0.00047074	-0.68
0.00044366	-0.67
0.00041776	-0.66
0.00039301	-0.65
0.00036938	-0.64
0.00034683	-0.63
0.00032533	-0.62
0.00030484	-0.61
0.00028534	-0.6
0.00026679	-0.59
0.00024916	-0.58
0.00023241	-0.57
0.00021653	-0.56
0.00020147	-0.55
0.00018722	-0.54
0.00017373	-0.53
0.00016098	-0.52
0.00014895	-0.51
0.00013761	-0.5
0.00012693	-0.49
0.00011688	-0.48
0.00010744	-0.47
9.8584e-05	-0.46
9.0287e-05	-0.45
8.2526e-05	-0.44
7.5275e-05	-0.43
6.8513e-05	-0.42
6.2218e-05	-0.41
5.6366e-05	-0.4
5.0938e-05	-0.39
4.5911e-05	-0.38
4.1266e-05	-0.37
3.6982e-05	-0.36
3.3041e-05	-0.35
2.9424e-05	-0.34
2.6112e-05	-0.33
2.3088e-05	-0.32
2.0334e-05	-0.31
1.7835e-05	-0.3
1.5573e-05	-0.29
1.3534e-05	-0.28
1.1701e-05	-0.27
1.0062e-05	-0.26
8.6009e-06	-0.25
7.3051e-06	-0.24
6.1616e-06	-0.23
5.1579e-06	-0.22
4.2821e-06	-0.21
3.5229e-06	-0.2
2.8695e-06	-0.19
2.3114e-06	-0.18
1.839e-06	-0.17
1.443e-06	-0.16
1.1147e-06	-0.15
8.4586e-07	-0.14
6.2887e-07	-0.13
4.5657e-07	-0.12
3.2237e-07	-0.11
2.2018e-07	-0.1
1.4446e-07	-0.09
9.0187e-08	-0.08
5.2866e-08	-0.07
2.8536e-08	-0.06
1.3761e-08	-0.05
5.6367e-09	-0.04
1.7835e-09	-0.03
3.5229e-10	-0.02
2.2018e-11	-0.01
	0
2.2018e-11	0.01
3.5229e-10	0.02
1.7835e-09	0.03
5.6367e-09	0.04
1.3761e-08	0.05
2.8536e-08	0.06
5.2866e-08	0.07
9.0187e-08	0.08
1.4446e-07	0.09
2.2018e-07	0.1
3.2237e-07	0.11
4.5657e-07	0.12
6.2887e-07	0.13
8.4586e-07	0.14
1.1147e-06	0.15
1.443e-06	0.16
1.839e-06	0.17
2.3114e-06	0.18
2.8695e-06	0.19
3.5229e-06	0.2
4.2821e-06	0.21
5.1579e-06	0.22
6.1616e-06	0.23
7.3051e-06	0.24
8.6009e-06	0.25
1.0062e-05	0.26
1.1701e-05	0.27
1.3534e-05	0.28
1.5573e-05	0.29
1.7835e-05	0.3
2.0334e-05	0.31
2.3088e-05	0.32
2.6112e-05	0.33
2.9424e-05	0.34
3.3041e-05	0.35
3.6982e-05	0.36
4.1266e-05	0.37
4.5911e-05	0.38
5.0938e-05	0.39
5.6366e-05	0.4
6.2218e-05	0.41
6.8513e-05	0.42
7.5275e-05	0.43
8.2526e-05	0.44
9.0287e-05	0.45
9.8584e-05	0.46
0.00010744	0.47
0.00011688	0.48
0.00012693	0.49
0.00013761	0.5
0.00014895	0.51
0.00016098	0.52
0.00017373	0.53
0.00018722	0.54
0.00020147	0.55
0.00021653	0.56
0.00023241	0.57
0.00024916	0.58
0.00026679	0.59
0.00028534	0.6
0.00030484	0.61
0.00032533	0.62
0.00034683	0.63
0.00036938	0.64
0.00039301	0.65
0.00041776	0.66
0.00044366	0.67
0.00047074	0.68
0.00049904	0.69
0.00052861	0.7
0.00055946	0.71
0.00059165	0.72
0.00062521	0.73
0.00066017	0.74
0.00069658	0.75
0.00073447	0.76
0.00077389	0.77
0.00081488	0.78
0.00085747	0.79
0.00090171	0.8
0.00094764	0.81
0.0009953	0.82
0.0010447	0.83
0.001096	0.84
0.0011491	0.85
0.0012041	0.86
0.0012611	0.87
0.0013201	0.88
0.0013811	0.89
0.0014442	0.9
0.0015095	0.91
0.0015769	0.92
0.0016466	0.93
0.0017185	0.94
0.0017928	0.95
0.0018694	0.96
0.0019485	0.97
0.0020301	0.98
0.0021142	0.99
0.0022009	1
0.0022902	1.01
0.0023822	1.02
0.002477	1.03
0.0025745	1.04
0.0026749	1.05
0.0027782	1.06
0.0028845	1.07
0.0029938	1.08
0.0031062	1.09
0.0032217	1.1
0.0033403	1.11
0.0034623	1.12
0.0035875	1.13
0.0037161	1.14
0.0038481	1.15
0.0039836	1.16
0.0041226	1.17
0.0042653	1.18
0.0044116	1.19
0.0045616	1.2
0.0047154	1.21
0.0048731	1.22
0.0050347	1.23
0.0052003	1.24
0.0053699	1.25
0.0055436	1.26
0.0057215	1.27
0.0059036	1.28
0.0060901	1.29
0.0062809	1.3
0.0064761	1.31
0.0066759	1.32
0.0068802	1.33
0.0070892	1.34
0.0073029	1.35
0.0075214	1.36
0.0077447	1.37
0.007973	1.38
0.0082062	1.39
0.0084445	1.4
0.008688	1.41
0.0089366	1.42
0.0091906	1.43
0.0094499	1.44
0.0097146	1.45
0.0099849	1.46
0.010261	1.47
0.010542	1.48
0.010829	1.49
0.011122	1.5
0.011421	1.51
0.011726	1.52
0.012037	1.53
0.012354	1.54
